Topic,temperature1,temperature2,AverageSimilarity
3,1.0,0.75,0.90534437
3,1.0,1.0,0.8920109
3,1.0,1.25,0.85382295
3,1.0,1.5,0.8700647
3,1.0,1.75,0.8498544
3,1.0,2.0,0.73102003
3,1.25,0.0,0.87371475
3,1.25,0.25,0.87371475
3,1.25,0.5,0.8676957
3,1.25,0.75,0.8643752
3,1.25,1.0,0.85382295
3,1.25,1.25,0.827374
3,1.25,1.5,0.8378933
3,1.25,1.75,0.8210545
3,1.25,2.0,0.7101068
3,1.5,0.0,0.88900393
3,1.5,0.25,0.88900393
3,1.5,0.5,0.885773
3,1.5,0.75,0.8792934
3,1.5,1.0,0.8700647
3,1.5,1.25,0.8378933
3,1.5,1.5,0.8596538
3,1.5,1.75,0.84005296
3,1.5,2.0,0.72648734
3,1.75,0.0,0.85435945
3,1.75,0.25,0.85435945
3,1.75,0.5,0.8530829
3,1.75,0.75,0.85030663
3,1.75,1.0,0.84985435
3,1.75,1.25,0.8210545
3,1.75,1.5,0.84005284
3,1.75,1.75,0.82840407
3,1.75,2.0,0.71385604
3,2.0,0.0,0.7346393
3,2.0,0.25,0.7346393
3,2.0,0.5,0.7357652
3,2.0,0.75,0.73084176
3,2.0,1.0,0.73102003
3,2.0,1.25,0.7101068
3,2.0,1.5,0.7264874
3,2.0,1.75,0.71385604
3,2.0,2.0,0.63933897
4,0.0,0.0,1.0000001
4,0.0,0.25,1.0000001
4,0.0,0.5,1.0000001
4,0.0,0.75,0.9968223
4,0.0,1.0,0.9580307
4,0.0,1.25,0.9279875
4,0.0,1.5,0.9279001
4,0.0,1.75,0.890907
4,0.0,2.0,0.70294267
4,0.25,0.0,1.0000001
4,0.25,0.25,1.0000001
4,0.25,0.5,1.0000001
4,0.25,0.75,0.9968223
4,0.25,1.0,0.9580307
4,0.25,1.25,0.9279875
4,0.25,1.5,0.9279001
4,0.25,1.75,0.890907
4,0.25,2.0,0.70294267
4,0.5,0.0,1.0000001
4,0.5,0.25,1.0000001
4,0.5,0.5,1.0000001
4,0.5,0.75,0.9968223
4,0.5,1.0,0.9580307
4,0.5,1.25,0.9279875
4,0.5,1.5,0.9279001
4,0.5,1.75,0.890907
4,0.5,2.0,0.70294267
4,0.75,0.0,0.9968222
4,0.75,0.25,0.9968222
4,0.75,0.5,0.9968222
4,0.75,0.75,0.9939622
4,0.75,1.0,0.95567244
4,0.75,1.25,0.9254448
4,0.75,1.5,0.9253215
4,0.75,1.75,0.88954765
4,0.75,2.0,0.70297045
4,1.0,0.0,0.95803076
4,1.0,0.25,0.95803076
4,1.0,0.5,0.95803076
4,1.0,0.75,0.95567244
4,1.0,1.0,0.9302374
4,1.0,1.25,0.90051615
4,1.0,1.5,0.90459996
4,1.0,1.75,0.8686275
4,1.0,2.0,0.70217484
4,1.25,0.0,0.92798746
4,1.25,0.25,0.92798746
4,1.25,0.5,0.92798746
4,1.25,0.75,0.9254448
4,1.25,1.0,0.90051615
4,1.25,1.25,0.877801
4,1.25,1.5,0.8780643
4,1.25,1.75,0.83994985
4,1.25,2.0,0.68212837
4,1.5,0.0,0.9279001
4,1.5,0.25,0.9279001
4,1.5,0.5,0.9279001
4,1.5,0.75,0.9253215
4,1.5,1.0,0.90459996
4,1.5,1.25,0.8780642
4,1.5,1.5,0.8841861
4,1.5,1.75,0.8442142
4,1.5,2.0,0.6887965
4,1.75,0.0,0.890907
4,1.75,0.25,0.890907
4,1.75,0.5,0.890907
4,1.75,0.75,0.8895477
4,1.75,1.0,0.8686275
4,1.75,1.25,0.8399498
4,1.75,1.5,0.8442142
4,1.75,1.75,0.8216376
4,1.75,2.0,0.6769132
4,2.0,0.0,0.7029427
4,2.0,0.25,0.7029427
4,2.0,0.5,0.7029427
4,2.0,0.75,0.70297045
4,2.0,1.0,0.7021749
4,2.0,1.25,0.6821283
4,2.0,1.5,0.68879664
4,2.0,1.75,0.6769133
4,2.0,2.0,0.61540335
5,0.0,0.0,1.0000001
5,0.0,0.25,1.0000001
5,0.0,0.5,1.0000001
5,0.0,0.75,0.9917897
5,0.0,1.0,0.98357934
5,0.0,1.25,1.0000001
5,0.0,1.5,0.9819057
5,0.0,1.75,0.9431433
5,0.0,2.0,0.88921785
5,0.25,0.0,1.0000001
5,0.25,0.25,1.0000001
5,0.25,0.5,1.0000001
5,0.25,0.75,0.9917897
5,0.25,1.0,0.98357934
5,0.25,1.25,1.0000001
5,0.25,1.5,0.9819057
5,0.25,1.75,0.9431433
5,0.25,2.0,0.88921785
5,0.5,0.0,1.0000001
5,0.5,0.25,1.0000001
5,0.5,0.5,1.0000001
5,0.5,0.75,0.9917897
5,0.5,1.0,0.98357934
5,0.5,1.25,1.0000001
5,0.5,1.5,0.9819057
5,0.5,1.75,0.9431433
5,0.5,2.0,0.88921785
5,0.75,0.0,0.9917897
5,0.75,0.25,0.9917897
5,0.75,0.5,0.9917897
5,0.75,0.75,0.9852214
5,0.75,1.0,0.97865313
5,0.75,1.25,0.9917897
5,0.75,1.5,0.976835
5,0.75,1.75,0.9413548
5,0.75,2.0,0.8860767
5,1.0,0.0,0.98357934
5,1.0,0.25,0.98357934
5,1.0,0.5,0.98357934
5,1.0,0.75,0.97865313
5,1.0,1.0,0.97372687
5,1.0,1.25,0.98357934
5,1.0,1.5,0.9717643
5,1.0,1.75,0.9395664
5,1.0,2.0,0.88293535
5,1.25,0.0,1.0000001
5,1.25,0.25,1.0000001
5,1.25,0.5,1.0000001
5,1.25,0.75,0.9917897
5,1.25,1.0,0.98357934
5,1.25,1.25,1.0000001
5,1.25,1.5,0.9819057
5,1.25,1.75,0.9431433
5,1.25,2.0,0.88921785
5,1.5,0.0,0.9819057
5,1.5,0.25,0.9819057
5,1.5,0.5,0.9819057
5,1.5,0.75,0.976835
5,1.5,1.0,0.9717642
5,1.5,1.25,0.9819057
5,1.5,1.5,0.9701108
5,1.5,1.75,0.937421
5,1.5,2.0,0.88071
5,1.75,0.0,0.9431433
5,1.75,0.25,0.9431433
5,1.75,0.5,0.9431433
5,1.75,0.75,0.9413548
5,1.75,1.0,0.9395664
5,1.75,1.25,0.9431433
5,1.75,1.5,0.93742096
5,1.75,1.75,0.9152284
5,1.75,2.0,0.857699
5,2.0,0.0,0.88921785
5,2.0,0.25,0.88921785
5,2.0,0.5,0.88921785
5,2.0,0.75,0.8860767
5,2.0,1.0,0.88293546
5,2.0,1.25,0.88921785
5,2.0,1.5,0.88071
5,2.0,1.75,0.857699
5,2.0,2.0,0.81277907
6,0.0,0.0,0.99999994
